student_name,current_grade,read_eqao_03,write_eqao_03,math_eqao_03,read_eqao_06,write_eqao_06,math_eqao_06,Mathematics_07,Reading_07,Writing_07,Mathematics_08,Reading_08,Writing_08,math_eqao_09,Language_09,Mathematics_09,Language_10,Mathematics_10,Language_11,Mathematics_11,EQAO_Math_Program
Chris Tuck,10,4,3,5,0,1,2,52,17,21,70,48,16,0,9,72,80,7,6,27,Academic
Mario Hamblin,11,1,1,0,1,1,2,10,99,15,12,65,39,1,83,49,54,65,66,42,Academic
Laura Bauer,10,3,0,5,1,2,4,92,76,53,46,50,16,1,90,23,61,75,55,37,Academic
Mark Lauridsen,10,2,3,1,2,2,3,81,26,21,26,13,47,2,83,2,61,35,8,29,Academic
William Kenimer,11,1,1,2,0,3,0,53,16,92,16,92,5,0,32,63,43,57,21,44,Academic
Mamie Rodriguez,11,5,3,3,0,2,0,4,57,85,24,34,2,0,34,3,52,75,39,16,Academic
Tammy Bromley,12,1,1,4,0,2,2,94,37,39,68,55,4,0,2,89,95,22,80,43,Academic
Steve Mccarty,8,1,2,2,5,5,3,45,71,58,47,67,25,5,6,23,98,60,23,10,
Reginald Hart,8,5,0,2,3,2,0,86,58,56,39,29,92,3,25,56,95,77,55,35,
Gary Lind,8,2,3,0,5,5,1,34,79,27,60,98,31,5,2,95,64,88,17,74,
Ashley Thurston,10,3,2,4,0,4,0,81,76,47,10,24,20,0,28,81,37,8,49,36,Academic
Rosalinda Granger,11,5,2,5,1,2,5,54,50,17,11,97,97,1,46,23,33,15,20,6,Academic
Elaine Riley,9,0,4,3,5,1,0,38,3,99,2,61,80,5,93,11,7,7,85,7,Academic
Connie Smith,11,2,5,0,3,3,4,95,46,70,1,44,97,3,6,98,30,86,65,88,Academic
Debbie Coro,10,2,2,4,3,3,2,46,23,15,55,35,16,3,22,46,71,23,96,83,Academic
Madonna Light,9,0,5,5,5,2,4,53,44,62,56,20,31,5,15,54,15,41,69,30,Academic
Rebecca Fernandez,12,1,0,5,1,1,0,33,92,12,6,59,24,1,37,48,34,37,46,96,Academic
Elena Downs,9,3,1,1,2,5,5,99,25,5,56,2,55,2,19,89,46,38,3,75,Academic
Kathleen Caraway,8,4,5,3,2,1,5,26,1,71,27,57,48,2,26,16,53,2,82,43,
Alice Curry,12,2,4,0,3,1,0,46,54,51,28,7,10,3,5,88,28,60,98,0,Academic
Shawn Grondin,10,1,4,2,4,0,5,65,75,65,25,49,5,4,47,43,73,1,28,26,Academic
Claire Sponaugle,11,1,3,1,5,2,0,78,3,23,26,51,15,5,74,69,16,18,45,4,Academic
Deeann Silva,12,2,2,2,4,3,1,90,33,93,42,2,67,4,58,56,30,5,94,73,Academic
Leroy Clark,12,5,3,1,3,3,2,73,90,0,53,19,51,3,17,93,98,51,75,30,Academic
